axis,subset,kind,method_x,method_y,n,pearson,pearson_lo,pearson_hi,spearman,spearman_lo,spearman_hi,P_bigfam_gt
dist_cum,>=0.25,binary,herg,snp_h2,12,0.3803498780723217,-0.5972627795207318,0.9461262416082789,0.30069930069930073,-0.4193503391102803,0.8908061940119069,0.7654
dist_cum,>=0.25,binary,sem_step,snp_h2,12,-0.18743874666273136,-0.8315006440539465,0.4819879970307564,-0.4265734265734266,-0.8576500899409921,0.07944848610149456,0.9821
dist_cum,>=0.25,binary,sem_const,snp_h2,12,0.2429856959730784,-0.5264001508274849,0.9807819915632201,0.5174825174825175,-0.1900204079304596,0.9959491465974036,0.6492
dist_cum,>=0.25,binary,ldak_step,snp_h2,12,-0.12134771574699257,-0.8946165009012583,0.5738203451209389,-0.3356643356643357,-0.8624583199298491,0.24129898563899496,0.9992
dist_cum,>=0.25,binary,ldak_const,snp_h2,12,0.39532370357516994,-0.4206780708340718,0.9807588790454403,0.49650349650349657,-0.2149498285703196,0.9817259070432678,0.6346
dist_cum,>=0.25,binary,bigfam,snp_h2,12,0.6019812603487822,-0.10681256702740836,0.9140397531057021,0.5410109189581527,-0.03632037633317692,0.9238357649542193,
dist_cum,>=0.30,both,falconer,snp_h2,26,-0.17410306246081575,-0.45409884577745846,0.23536617337691393,0.107008547008547,-0.25080194520949584,0.486903665314246,0.9999
dist_cum,>=0.30,both,herg,snp_h2,26,-0.16711843305578156,-0.44844039217712645,0.2426737803163575,0.048888888888888885,-0.2906229897922793,0.41890575426823573,1.0
dist_cum,>=0.30,both,sem_step,snp_h2,26,-0.34825419193233575,-0.5627113358208808,-0.05681865410171514,-0.06461538461538462,-0.39362462185273744,0.3065428271166362,1.0
dist_cum,>=0.30,both,sem_const,snp_h2,26,0.3644930262348933,0.04188509570160254,0.7325588693848492,0.5193162393162393,0.22798040698863933,0.768184469374725,0.9992
dist_cum,>=0.30,both,ldak_step,snp_h2,26,-0.13898049837362558,-0.44834993882232704,0.2277716168508026,-0.04726034325796629,-0.4174831842134004,0.34881874204097335,1.0
dist_cum,>=0.30,both,ldak_const,snp_h2,26,0.21049301383188532,-0.12555684933826802,0.5908653763511702,0.2630140842182471,-0.10040324931253423,0.6266793805719836,0.9992
dist_cum,>=0.30,both,bigfam,snp_h2,26,0.8622002814219989,0.7508186694270826,0.9363613579679267,0.7783459990948262,0.6092166300469306,0.8990841642044537,
dist_cum,>=0.30,both,bigfam_v1,snp_h2,18,0.8838154608903471,0.7900774213491395,0.972769187980157,0.7320599839790831,0.5902009483595927,0.9518436267017459,0.2803
dist_cum,>=0.30,continuous,falconer,snp_h2,18,-0.1979910985901919,-0.5456603280135935,0.25282552528477487,0.1496388028895769,-0.2712895359484296,0.5598351312170684,0.9992
dist_cum,>=0.30,continuous,herg,snp_h2,18,-0.21538333126951412,-0.5531823314703039,0.22745545770763104,0.05882352941176471,-0.3452738250358092,0.4642706556375653,0.9992
dist_cum,>=0.30,continuous,sem_step,snp_h2,18,-0.3825628289342548,-0.6537937454107887,-0.06990430231034749,-0.05056759545923632,-0.4822760395904232,0.3919355731404307,0.9997
dist_cum,>=0.30,continuous,sem_const,snp_h2,18,0.5795806043535409,0.3506776349728922,0.8035456773846245,0.5830753353973168,0.21141090135030438,0.8516636687874907,0.9974
dist_cum,>=0.30,continuous,ldak_step,snp_h2,18,-0.1696830292708746,-0.5654329060969152,0.2665465453749127,-0.06016678441515235,-0.5009530031767879,0.3891552905070476,0.9997
dist_cum,>=0.30,continuous,ldak_const,snp_h2,18,0.2305506657358533,-0.15870263065540477,0.6612761945797294,0.2761122761845588,-0.1592280968997931,0.6780946091978884,0.9982
dist_cum,>=0.30,continuous,bigfam,snp_h2,18,0.9228960402620385,0.8485500661635444,0.9803852576732309,0.7622937907009886,0.5206281986503999,0.9311163388495878,
dist_cum,>=0.30,continuous,bigfam_v1,snp_h2,18,0.8838154608903471,0.7914500313420741,0.971208132658206,0.7320599839790831,0.4610048756736737,0.9277715540301446,0.8976
dist_cum,>=0.30,binary,falconer,snp_h2,8,0.047172939961358955,-0.8352525267520924,0.9497845060395638,0.07142857142857144,-0.7280587898081894,0.8730395439854632,0.8394
dist_cum,>=0.30,binary,herg,snp_h2,8,0.25302159318350803,-0.7901859268953028,0.9851638982602472,0.2380952380952381,-0.5966005392134929,0.9819805060619657,0.7564
dist_cum,>=0.30,binary,sem_step,snp_h2,8,-0.02456505473044268,-0.8072344064455185,0.839090458354711,-0.04761904761904763,-0.7183104469208695,0.9056143002472852,0.8432
